stop_id,stop_name,route_id,latitude,longitude,source
OSM_2336968995,Barahi Movies,Kathmandu Transit,27.6660167,85.4218225,Yatayat / OpenStreetMap
OSM_2336968996,Sallaghari Stop,Kathmandu Transit,27.6708871,85.409412,Yatayat / OpenStreetMap
OSM_2336968997,Tinkune Bhaktapur,Kathmandu Transit,27.6723655,85.4068295,Yatayat / OpenStreetMap
OSM_2343968531,Bhaktapur Hospital Stop,Kathmandu Transit,27.6719882,85.4224082,Yatayat / OpenStreetMap
OSM_2356769263,Bhaktapur Bus Park,Bhaktapur-Purano Thimi- Purano Bus Park,27.6713069,85.4224157,Yatayat / OpenStreetMap
OSM_2360183669,Teaching Hospital stop,Kathmandu Transit,27.7345232,85.3307108,Yatayat / OpenStreetMap
OSM_2373352536,Tripureshwor,Kathmandu Transit,27.6934485,85.3145773,Yatayat / OpenStreetMap
OSM_2376160425,Balkhu Stop,Kalanki- Lagankhel,27.6847979,85.2985923,Yatayat / OpenStreetMap
OSM_2377002167,Jadibuti,Kathmandu Transit,27.6754586,85.3516003,Yatayat / OpenStreetMap
OSM_2377087410,Balkumari Stop,kalanki-Balkumari,27.6736699,85.3424814,Yatayat / OpenStreetMap
OSM_2377740072,Naya Baneshwor Tampoo Station,"Naya Baneshwor, Koteshwor, Satdobato, Lagankhel, Jaulakhel, Kupandol, Naya Baneshwor",27.688586,85.3346886,Yatayat / OpenStreetMap
OSM_2378194788,Kapan Stop,Kathmandu Transit,27.7294183,85.3540637,Yatayat / OpenStreetMap
OSM_2382181282,Chardobato,Kathmandu Transit,27.673424,85.3811209,Yatayat / OpenStreetMap
